ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Novel,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,12,0.99292,0.8630061155375999,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,13,0.99292,0.8637804445308133,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,14,0.99292,0.8645018631774791,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,15,0.99292,0.8651774502458426,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,16,0.99292,0.8658129383101276,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,17,0.99292,0.8664130363317446,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,18,0.99292,0.8669816608260598,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,19,0.99292,0.8675221050859936,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,5,5,10,20,0.99292,0.8680371654011237,0.9347602898202539,0.03134319505012088,0.6656432800823054,0.08022608136438919,0.2691170097379485
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,1,0.9878,0.8383897895817174,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,2,0.9878,0.8437976562794103,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,3,0.9878,0.8470638072714385,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,4,0.9878,0.8494311179395166,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,5,0.9878,0.8512975754765483,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_10_1124_233255_AdvLoss.pth,Prototypical,10,5,10,6,0.9878,0.8528430865387036,0.9350270369874004,0.030407604484510093,0.665954194698451,0.08116918345271082,0.26907284228894945
