ModelDir,ModelName,FewShotClassifier,Way,Shot,Query,Accuracy,BayesThreshold,Average,Std,AverageOutlier,StdOutlier,MeanBetween
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,14,5,10,0.9718571428571429,0.8264347046482257,0.944873605318741,0.03705528316765816,0.5586586948436288,0.14111235586066592,0.38621491047511214
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,16,5,10,0.9668875,0.8278778396816501,0.9453616144792725,0.03624699336894873,0.5583423665677935,0.14218785044397445,0.387019247911479
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,18,5,10,0.9641111111111111,0.8273286979689354,0.9454715792520318,0.03596740706337336,0.5571708193195628,0.14164081435336445,0.38830075993246904
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,20,5,10,0.96214,0.8277602289143735,0.9458317528614607,0.035569936890474156,0.5569924578294101,0.14184615981564994,0.3888392950320506
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,22,5,10,0.9594636363636364,0.8275598625042573,0.945974515900152,0.035353649955055015,0.5569839959031927,0.14165233046076905,0.3889905199969593
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,24,5,10,0.957325,0.8276249044547427,0.9462502263255174,0.035188271537379454,0.5577793060376675,0.14194793319558835,0.3884709202878499
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,26,5,10,0.9537769230769231,0.8286206680213464,0.9465512111514427,0.034657483794330854,0.5565928087758306,0.14239841045863377,0.3899584023756121
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,28,5,10,0.9506714285714286,0.8289386163803355,0.9465869111218657,0.03434786608054869,0.5579756428577703,0.14183966803663933,0.3886112682640953
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,30,5,10,0.9476466666666666,0.8291784501847249,0.9469189407218349,0.0341872738727063,0.5579571346607364,0.14230474911182922,0.38896180606109854
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,32,5,10,0.9465125,0.828935921672975,0.9469880415159767,0.03403802221408186,0.5569993459942617,0.14196674892487754,0.389988695521715
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,34,5,10,0.9437529411764706,0.829163138526364,0.9471289195237083,0.03382191068782016,0.5568613603550105,0.14199094829532688,0.3902675591686977
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,36,5,10,0.9419888888888889,0.829951036026452,0.9473071819437747,0.03345941342229065,0.5572417687086859,0.14197383626958537,0.3900654132350888
modelsOmniglotAdvStd4,Resnet12_Omniglot_episodic_8_1124_181322_AdvLoss.pth,Prototypical,38,5,10,0.9381947368421053,0.8305834219657323,0.9475389614049157,0.03315207431747904,0.5566838929126121,0.14210393843014424,0.39085506849230356
