Model,FewShotClassifier,Way,Shot,Query,Accuracy,Precision,Recall,F1,TP,FP,FN,Method,Threshold
resnet34,Finetune,6,5,6,0.5996111111111111,0.729312762973352,0.3466666666666667,0.4699502937189336,1040,386,1960,bayes,0.7685048516159775
resnet34,BD-CSPN,6,5,6,0.6024444444444444,0.8431208053691275,0.335,0.4794847328244275,1005,187,1995,bayes,0.7685048516159775
resnet34,TIM,6,5,6,0.5988333333333333,0.7629846378931968,0.3476666666666667,0.4776734600412183,1043,324,1957,bayes,0.7685048516159775
resnet34,Prototypical,6,5,6,0.5837222222222223,0.7489812550937245,0.30633333333333335,0.43482375207002605,919,308,2081,std,0.7691233981667908
resnet34,Finetune,6,5,6,0.5996111111111111,0.7273361227336123,0.3476666666666667,0.47045557059088855,1043,391,1957,std,0.7691233981667908
resnet34,BD-CSPN,6,5,6,0.6026666666666667,0.842237061769616,0.3363333333333333,0.48070509766555497,1009,189,1991,std,0.7691233981667908
resnet34,TIM,6,5,6,0.5989444444444444,0.7610748002904866,0.34933333333333333,0.4788668037468586,1048,329,1952,std,0.7691233981667908
resnet50,Prototypical,6,1,6,0.43083333333333335,0.4897342995169082,0.2703333333333333,0.3483676975945017,811,845,2189,bayes,0.7787724164543427
resnet50,Finetune,6,1,6,0.4310555555555556,0.4567699836867863,0.28,0.34717916924984504,840,999,2160,bayes,0.7787724164543427
resnet50,BD-CSPN,6,1,6,0.4498888888888889,0.6979293544457978,0.191,0.2999214865218529,573,248,2427,bayes,0.7787724164543427
resnet50,TIM,6,1,6,0.432,0.5033971587399629,0.27166666666666667,0.35289023598181424,815,804,2185,bayes,0.7787724164543427
resnet50,Prototypical,6,1,6,0.43127777777777776,0.4941824862216779,0.269,0.3483703863587309,807,826,2193,std,0.7778415205343473
resnet50,Finetune,6,1,6,0.43122222222222223,0.461283185840708,0.278,0.34692179700499165,834,974,2166,std,0.7778415205343473
resnet50,BD-CSPN,6,1,6,0.44961111111111113,0.7003699136868065,0.18933333333333333,0.29808449225924954,568,243,2432,std,0.7778415205343473
resnet50,TIM,6,1,6,0.4318888888888889,0.5059486537257357,0.2693333333333333,0.3515336088753535,808,789,2192,std,0.7778415205343473
resnet50,Prototypical,6,5,6,0.5521666666666667,0.6735833998403831,0.2813333333333333,0.396896308488126,844,409,2156,bayes,0.8142273946993293
resnet50,Finetune,6,5,6,0.566,0.6493506493506493,0.31666666666666665,0.425722608111136,950,513,2050,bayes,0.8142273946993293
resnet50,BD-CSPN,6,5,6,0.5651111111111111,0.7640449438202247,0.2946666666666667,0.4253067115708444,884,273,2116,bayes,0.8142273946993293
resnet50,TIM,6,5,6,0.5648333333333333,0.6880530973451328,0.311,0.4283746556473829,933,423,2067,bayes,0.8142273946993293
resnet50,Prototypical,6,5,6,0.5523333333333333,0.672209026128266,0.283,0.398311048557354,849,414,2151,std,0.8146354785007702
resnet50,Finetune,6,5,6,0.5661666666666667,0.6485384092454113,0.318,0.42675016774770747,954,517,2046,std,0.8146354785007702
resnet50,BD-CSPN,6,5,6,0.5652222222222222,0.7639965546942291,0.2956666666666667,0.42633982215813504,887,274,2113,std,0.8146354785007702
resnet50,TIM,6,5,6,0.5648333333333333,0.6846715328467153,0.31266666666666665,0.42929061784897027,938,432,2062,std,0.8146354785007702
